iter	Passed	Remaining
0	27	8203
1	52	7893
2	78	7755
3	103	7632
4	127	7530
5	154	7575
6	182	7651
7	209	7656
8	236	7641
9	263	7633
10	290	7619
11	316	7594
12	342	7569
13	369	7555
14	397	7547
15	424	7535
16	450	7496
17	477	7473
18	503	7451
19	529	7410
20	554	7367
21	579	7326
22	606	7300
23	630	7249
24	656	7220
25	682	7187
26	710	7179
27	736	7150
28	746	6971
29	771	6946
30	797	6923
31	820	6874
32	845	6843
33	872	6822
34	898	6802
35	923	6775
36	950	6759
37	977	6742
38	1004	6724
39	1030	6696
40	1057	6681
41	1084	6662
42	1116	6671
43	1141	6642
44	1168	6619
45	1196	6605
46	1222	6582
47	1248	6555
48	1275	6532
49	1286	6430
50	1310	6396
51	1333	6359
52	1358	6333
53	1386	6315
54	1412	6293
55	1438	6267
56	1463	6237
57	1489	6215
58	1515	6190
59	1541	6164
60	1567	6143
61	1594	6119
62	1621	6099
63	1648	6079
64	1675	6058
65	1702	6037
66	1729	6013
67	1754	5985
68	1781	5963
69	1808	5940
70	1834	5916
71	1861	5893
72	1887	5868
73	1913	5842
74	1940	5820
75	1965	5794
76	1991	5768
77	2018	5744
78	2044	5719
79	2070	5692
80	2094	5663
81	2122	5643
82	2149	5620
83	2174	5591
84	2199	5562
85	2225	5538
86	2252	5514
87	2279	5490
88	2304	5463
89	2330	5437
90	2356	5411
91	2381	5384
92	2408	5360
93	2433	5333
94	2459	5308
95	2485	5282
96	2511	5256
97	2538	5233
98	2565	5208
99	2592	5184
100	2619	5162
101	2646	5136
102	2672	5111
103	2698	5086
104	2725	5061
105	2751	5035
106	2778	5011
107	2804	4985
108	2829	4957
109	2854	4931
110	2880	4905
111	2907	4879
112	2932	4853
113	2959	4827
114	2984	4800
115	3009	4773
116	3035	4747
117	3061	4722
118	3087	4696
119	3112	4669
120	3137	4641
121	3163	4616
122	3189	4589
123	3215	4563
124	3241	4538
125	3267	4511
126	3292	4485
127	3318	4458
128	3343	4432
129	3370	4407
130	3396	4381
131	3422	4355
132	3447	4329
133	3473	4302
134	3499	4276
135	3524	4250
136	3548	4222
137	3573	4194
138	3597	4166
139	3621	4139
140	3646	4111
141	3671	4085
142	3696	4058
143	3720	4030
144	3744	4003
145	3769	3976
146	3795	3950
147	3821	3925
148	3847	3898
149	3874	3874
150	3900	3849
151	3926	3823
152	3951	3796
153	3976	3770
154	4001	3743
155	4027	3717
156	4052	3691
157	4077	3664
158	4102	3638
159	4130	3614
160	4155	3587
161	4180	3561
162	4206	3535
163	4232	3509
164	4257	3483
165	4284	3458
166	4310	3432
167	4335	3406
168	4361	3380
169	4387	3355
170	4412	3328
171	4437	3302
172	4464	3277
173	4488	3250
174	4513	3223
175	4539	3197
176	4564	3171
177	4590	3146
178	4616	3120
179	4641	3094
180	4667	3068
181	4692	3042
182	4717	3016
183	4742	2990
184	4767	2963
185	4793	2937
186	4819	2912
187	4844	2886
188	4870	2860
189	4896	2834
190	4922	2809
191	4948	2783
192	4974	2757
193	4999	2731
194	5024	2705
195	5049	2679
196	5075	2653
197	5100	2627
198	5125	2601
199	5150	2575
200	5175	2549
201	5201	2523
202	5225	2497
203	5251	2471
204	5276	2445
205	5301	2419
206	5326	2393
207	5350	2366
208	5375	2340
209	5401	2314
210	5425	2288
211	5451	2262
212	5475	2236
213	5501	2211
214	5527	2185
215	5551	2159
216	5576	2132
217	5601	2107
218	5626	2081
219	5651	2055
220	5676	2029
221	5707	2005
222	5732	1979
223	5757	1953
224	5783	1927
225	5808	1901
226	5834	1876
227	5859	1850
228	5883	1824
229	5907	1797
230	5932	1772
231	5957	1746
232	5982	1720
233	6006	1694
234	6030	1668
235	6055	1642
236	6080	1616
237	6106	1590
238	6133	1565
239	6158	1539
240	6185	1514
241	6210	1488
242	6236	1462
243	6263	1437
244	6289	1411
245	6315	1386
246	6341	1360
247	6366	1334
248	6392	1309
249	6418	1283
250	6443	1257
251	6470	1232
252	6495	1206
253	6521	1181
254	6547	1155
255	6573	1129
256	6599	1104
257	6625	1078
258	6651	1052
259	6677	1027
260	6703	1001
261	6731	976
262	6758	950
263	6785	925
264	6812	899
265	6838	874
266	6865	848
267	6892	822
268	6919	797
269	6946	771
270	6972	746
271	6998	720
272	7025	694
273	7052	669
274	7081	643
275	7109	618
276	7136	592
277	7162	566
278	7190	541
279	7218	515
280	7245	489
281	7270	464
282	7296	438
283	7322	412
284	7348	386
285	7375	361
286	7403	335
287	7430	309
288	7455	283
289	7482	258
290	7509	232
291	7537	206
292	7562	180
293	7588	154
294	7614	129
295	7640	103
296	7666	77
297	7691	51
298	7718	25
299	7744	0
